date,ticker,p,rank,train_cutoff
2026-09-21,028050,-0.00565256,196,2025-11-27
2026-09-21,006910,-0.00574718,197,2025-11-27
2026-09-21,249420,-0.00592860,198,2025-11-27
2026-09-21,073240,-0.00633262,199,2025-11-27
2026-09-21,001120,-0.00656682,200,2025-11-27
2026-09-21,128940,-0.00696523,201,2025-11-27
2026-09-21,001450,-0.00707380,202,2025-11-27
2026-09-21,035760,-0.00801707,203,2025-11-27
2026-09-21,131290,-0.00806562,204,2025-11-27
2026-09-21,393890,-0.00822861,205,2025-11-27
2026-09-21,105560,-0.00824185,206,2025-11-27
2026-09-21,316140,-0.00842997,207,2025-11-27
2026-09-21,295310,-0.00844679,208,2025-11-27
2026-09-21,032640,-0.00850892,209,2025-11-27
2026-09-21,095610,-0.00856849,210,2025-11-27
2026-09-21,006260,-0.00860413,211,2025-11-27
2026-09-21,048410,-0.00910410,212,2025-11-27
2026-09-21,012450,-0.00921152,213,2025-11-27
2026-09-21,006400,-0.00988351,214,2025-11-27
2026-09-21,112610,-0.01015050,215,2025-11-27
2026-09-21,175330,-0.01023309,216,2025-11-27
2026-09-21,055550,-0.01031055,217,2025-11-27
2026-09-21,090430,-0.01053477,218,2025-11-27
2026-09-21,041510,-0.01079399,219,2025-11-27
2026-09-21,293490,-0.01095157,220,2025-11-27
2026-09-21,001430,-0.01116513,221,2025-11-27
2026-09-21,011170,-0.01131104,222,2025-11-27
2026-09-21,120110,-0.01152456,223,2025-11-27
2026-09-21,285130,-0.01165880,224,2025-11-27
2026-09-21,440110,-0.01209133,225,2025-11-27
2026-09-21,032500,-0.01248403,226,2025-11-27
2026-09-21,088350,-0.01254981,227,2025-11-27
2026-09-21,417840,-0.01286016,228,2025-11-27
2026-09-21,180640,-0.01302297,229,2025-11-27
2026-09-21,010120,-0.01338272,230,2025-11-27
2026-09-21,354320,-0.01342240,231,2025-11-27
2026-09-21,005070,-0.01405598,232,2025-11-27
2026-09-21,098460,-0.01412843,233,2025-11-27
2026-09-21,108490,-0.01438545,234,2025-11-27
2026-09-21,080580,-0.01443060,235,2025-11-27
2026-09-21,058470,-0.01473046,236,2025-11-27
2026-09-21,021240,-0.01495644,237,2025-11-27
2026-09-21,100790,-0.01512475,238,2025-11-27
2026-09-21,122640,-0.01545247,239,2025-11-27
2026-09-21,006360,-0.01587910,240,2025-11-27
2026-09-21,005930,-0.01592459,241,2025-11-27
2026-09-21,003490,-0.01598596,242,2025-11-27
2026-09-21,319660,-0.01626929,243,2025-11-27
2026-09-21,047050,-0.01639347,244,2025-11-27
2026-09-21,192820,-0.01660573,245,2025-11-27
2026-09-21,089030,-0.01661104,246,2025-11-27
2026-09-21,082740,-0.01799856,247,2025-11-27
2026-09-21,087010,-0.01814986,248,2025-11-27
2026-09-21,456010,-0.01902270,249,2025-11-27
2026-09-21,084370,-0.01915186,250,2025-11-27
2026-09-21,290550,-0.01929469,251,2025-11-27
2026-09-21,373220,-0.01934180,252,2025-11-27
2026-09-21,093370,-0.01940662,253,2025-11-27
2026-09-21,077360,-0.01947853,254,2025-11-27
2026-09-21,003670,-0.01958935,255,2025-11-27
2026-09-21,051900,-0.01996331,256,2025-11-27
2026-09-21,046120,-0.02051786,257,2025-11-27
2026-09-21,096770,-0.02064739,258,2025-11-27
2026-09-21,328130,-0.02070551,259,2025-11-27
2026-09-21,032820,-0.02083917,260,2025-11-27
2026-09-21,004490,-0.02090015,261,2025-11-27
2026-09-21,103590,-0.02104416,262,2025-11-27
2026-09-21,090460,-0.02111307,263,2025-11-27
2026-09-21,218410,-0.02121780,264,2025-11-27
2026-09-21,031980,-0.02164678,265,2025-11-27
2026-09-21,000100,-0.02189230,266,2025-11-27
2026-09-21,023160,-0.02195564,267,2025-11-27
2026-09-21,234340,-0.02232792,268,2025-11-27
2026-09-21,375500,-0.02241478,269,2025-11-27
2026-09-21,095340,-0.02256760,270,2025-11-27
2026-09-21,033790,-0.02268563,271,2025-11-27
2026-09-21,000370,-0.02308584,272,2025-11-27
2026-09-21,042700,-0.02355967,273,2025-11-27
2026-09-21,059090,-0.02440375,274,2025-11-27
2026-09-21,103140,-0.02465944,275,2025-11-27
2026-09-21,056190,-0.02479535,276,2025-11-27
2026-09-21,251270,-0.02484974,277,2025-11-27
2026-09-21,484870,-0.02486162,278,2025-11-27
2026-09-21,140410,-0.02535475,279,2025-11-27
2026-09-21,402340,-0.02566436,280,2025-11-27
2026-09-21,252990,-0.02566765,281,2025-11-27
