date,ticker,name,p,rank,train_cutoff
2026-09-23,090430,아모레퍼시픽,-0.01349301,230,2025-11-27
2026-09-23,138930,BNK금융지주,-0.01379610,231,2025-11-27
2026-09-23,375500,DL이앤씨,-0.01393525,232,2025-11-27
2026-09-23,028670,팬오션,-0.01412905,233,2025-11-27
2026-09-23,251270,넷마블,-0.01472982,234,2025-11-27
2026-09-23,003490,대한항공,-0.01502177,235,2025-11-27
2026-09-23,382800,지앤비에스 에코,-0.01585247,236,2025-11-27
2026-09-23,218410,RFHIC,-0.01622130,237,2025-11-27
2026-09-23,073240,금호타이어,-0.01673245,238,2025-11-27
2026-09-23,025980,아난티,-0.01690883,239,2025-11-27
2026-09-23,083650,비에이치아이,-0.01702693,240,2025-11-27
2026-09-23,058610,에스피지,-0.01708439,241,2025-11-27
2026-09-23,389500,에스비비테크,-0.01711973,242,2025-11-27
2026-09-23,140410,메지온,-0.01722412,243,2025-11-27
2026-09-23,353200,대덕전자,-0.01749571,244,2025-11-27
2026-09-23,484870,엠앤씨솔루션,-0.01768408,245,2025-11-27
2026-09-23,252990,샘씨엔에스,-0.01806357,246,2025-11-27
2026-09-23,373220,LG에너지솔루션,-0.01823126,247,2025-11-27
2026-09-23,192820,코스맥스,-0.01832599,248,2025-11-27
2026-09-23,000370,한화손해보험,-0.01840150,249,2025-11-27
2026-09-23,005830,DB손해보험,-0.01866296,250,2025-11-27
2026-09-23,319660,피에스케이,-0.01882668,251,2025-11-27
2026-09-23,021240,코웨이,-0.01899933,252,2025-11-27
2026-09-23,046120,오르비텍,-0.01909283,253,2025-11-27
2026-09-23,080580,오킨스전자,-0.01920623,254,2025-11-27
2026-09-23,027360,아주IB투자,-0.01924991,255,2025-11-27
2026-09-23,035760,CJ ENM,-0.01931660,256,2025-11-27
2026-09-23,034020,두산에너빌리티,-0.01960672,257,2025-11-27
2026-09-23,032820,우리기술,-0.02038452,258,2025-11-27
2026-09-23,290550,디케이티,-0.02062175,259,2025-11-27
2026-09-23,281820,케이씨텍,-0.02102640,260,2025-11-27
2026-09-23,003670,포스코퓨처엠,-0.02153105,261,2025-11-27
2026-09-23,357780,솔브레인,-0.02192067,262,2025-11-27
2026-09-23,051900,LG생활건강,-0.02194703,263,2025-11-27
2026-09-23,088350,한화생명,-0.02198621,264,2025-11-27
2026-09-23,131290,티에스이,-0.02207217,265,2025-11-27
2026-09-23,056190,SFA,-0.02281817,266,2025-11-27
2026-09-23,403870,HPSP,-0.02320391,267,2025-11-27
2026-09-23,077360,덕산하이메탈,-0.02335106,268,2025-11-27
2026-09-23,042700,한미반도체,-0.02361735,269,2025-11-27
2026-09-23,058470,리노공업,-0.02376653,270,2025-11-27
2026-09-23,052690,한전기술,-0.02445678,271,2025-11-27
2026-09-23,328130,루닛,-0.02459864,272,2025-11-27
2026-09-23,417200,LS머트리얼즈,-0.02459933,273,2025-11-27
2026-09-23,452280,한선엔지니어링,-0.02555555,274,2025-11-27
2026-09-23,039030,이오테크닉스,-0.02564261,275,2025-11-27
2026-09-23,000880,한화,-0.02583942,276,2025-11-27
2026-09-23,093370,후성,-0.02674246,277,2025-11-27
2026-09-23,393890,더블유씨피,-0.02693297,278,2025-11-27
2026-09-23,067310,하나마이크론,-0.02734935,279,2025-11-27
2026-09-23,004490,세방전지,-0.02753700,280,2025-11-27
