date,ticker,p20,p60,rank20,rank60,train_cutoff20,train_cutoff60
2026-09-21,036570,0.036245865899033274,0.016937185565273374,51,120,2025-11-27,2025-10-28
2026-09-21,036810,-0.04766184817728019,-0.044331447142727874,318,310,2025-11-27,2025-10-28
2026-09-21,036930,-0.07085567637961253,-0.04337245843336969,329,309,2025-11-27,2025-10-28
2026-09-21,039030,-0.006928652896429496,-0.0025481177992043346,239,201,2025-11-27,2025-10-28
2026-09-21,039200,0.01758582355503902,0.016046015165330604,145,125,2025-11-27,2025-10-28
2026-09-21,039490,0.02726132199841356,0.029333189457013683,92,66,2025-11-27,2025-10-28
2026-09-21,041510,0.0068470348367114225,0.0028116567050647415,185,179,2025-11-27,2025-10-28
2026-09-21,041830,0.008823849783529715,-0.011766801239126328,180,235,2025-11-27,2025-10-28
2026-09-21,042660,0.024026699605956776,0.06144564080882693,107,11,2025-11-27,2025-10-28
2026-09-21,042700,-0.024027723039846422,-0.01705343245954121,282,255,2025-11-27,2025-10-28
2026-09-21,043260,-0.08789463059763468,-0.09242998678028855,337,337,2025-11-27,2025-10-28
2026-09-21,044490,-0.07430355863814567,-0.09031755061035299,331,335,2025-11-27,2025-10-28
2026-09-21,047040,-0.01135794174701187,-0.0007684487068366473,251,195,2025-11-27,2025-10-28
2026-09-21,047050,0.015080314613069351,0.026070909966808192,157,79,2025-11-27,2025-10-28
2026-09-21,047810,0.017110761777773216,0.017557668602049673,147,117,2025-11-27,2025-10-28
2026-09-21,048410,-0.00859713360082119,-0.018008220586151428,244,259,2025-11-27,2025-10-28
2026-09-21,050890,-0.03695763988561007,0.002609290429778335,309,181,2025-11-27,2025-10-28
2026-09-21,051600,0.0246097376801987,0.028492295703898527,103,69,2025-11-27,2025-10-28
2026-09-21,051900,0.014694297469082322,-0.02079847534717402,160,271,2025-11-27,2025-10-28
2026-09-21,051910,0.014698653550657328,0.011136274700701814,159,146,2025-11-27,2025-10-28
2026-09-21,052690,-0.02838227971996534,-0.025205969204506726,295,282,2025-11-27,2025-10-28
2026-09-21,053800,0.018810529961656525,0.00836845210650246,136,156,2025-11-27,2025-10-28
2026-09-21,055550,0.020442250908410647,0.009040584437481174,123,153,2025-11-27,2025-10-28
2026-09-21,056190,-0.006179287338629729,-0.02064723276998428,236,269,2025-11-27,2025-10-28
2026-09-21,058470,0.012614708652598715,0.035432322684187646,166,53,2025-11-27,2025-10-28
2026-09-21,058610,-0.01818788458774465,-0.020302370211520773,266,267,2025-11-27,2025-10-28
2026-09-21,059090,-0.02490289931113901,-0.0082392966457298,288,224,2025-11-27,2025-10-28
2026-09-21,060370,-0.00578611387405437,0.003426509674366795,234,177,2025-11-27,2025-10-28
2026-09-21,062040,-0.036375783428252824,0.0009784917069435278,306,189,2025-11-27,2025-10-28
2026-09-21,064290,-0.0388278468831039,-0.04648852603980422,310,313,2025-11-27,2025-10-28
2026-09-21,064350,0.022508063575170385,0.04364070625170949,118,30,2025-11-27,2025-10-28
2026-09-21,064400,0.01566127834758308,0.020735230147050174,152,99,2025-11-27,2025-10-28
2026-09-21,064760,-0.006119006961867618,-0.01720900788839562,235,256,2025-11-27,2025-10-28
2026-09-21,065350,0.0058564079808388425,0.03999488355255491,189,40,2025-11-27,2025-10-28
2026-09-21,066570,-0.011865848444641091,-0.011963905681392852,252,236,2025-11-27,2025-10-28
2026-09-21,066970,0.019056438816650402,0.004769095705147201,133,172,2025-11-27,2025-10-28
2026-09-21,067310,-0.02455939600223138,-0.025954118982865516,286,284,2025-11-27,2025-10-28
2026-09-21,068270,0.03431360025868298,0.02215534900696249,59,93,2025-11-27,2025-10-28
2026-09-21,068760,0.04159820313053564,0.039571735280501265,30,43,2025-11-27,2025-10-28
2026-09-21,069960,0.048717108977108674,0.046508900983055025,9,25,2025-11-27,2025-10-28
2026-09-21,071050,0.031617166887693934,0.01295932634807838,71,139,2025-11-27,2025-10-28
2026-09-21,071970,-0.008806258674850433,0.045271386801869457,246,28,2025-11-27,2025-10-28
2026-09-21,073240,-0.00729296926247636,-0.002886588495318544,240,203,2025-11-27,2025-10-28
2026-09-21,074600,0.016901421547824216,0.023597897901059883,149,87,2025-11-27,2025-10-28
2026-09-21,077970,0.0231010291642266,0.05200905677603099,115,20,2025-11-27,2025-10-28
2026-09-21,078600,0.02493652826843148,0.0299118611522134,102,64,2025-11-27,2025-10-28
2026-09-21,078930,0.008929294866381802,-0.024314770376791424,179,277,2025-11-27,2025-10-28
2026-09-21,079550,-0.002537841423807355,0.011733988271761015,225,143,2025-11-27,2025-10-28
2026-09-21,079900,-0.02122267711776411,-0.015872378239113815,278,249,2025-11-27,2025-10-28
2026-09-21,080220,-0.01463337491551688,-0.017490094105263764,260,257,2025-11-27,2025-10-28
2026-09-21,081660,0.027661172022622624,0.006672874954347532,89,168,2025-11-27,2025-10-28
2026-09-21,082740,-0.020654217238404222,-0.005772086520251417,277,216,2025-11-27,2025-10-28
2026-09-21,082920,0.008773421309929611,0.01829137254548284,181,110,2025-11-27,2025-10-28
2026-09-21,083450,-0.002978148836215487,0.0031865378045280207,228,178,2025-11-27,2025-10-28
2026-09-21,083650,-0.02626108418725184,0.0038342331260156357,293,174,2025-11-27,2025-10-28
2026-09-21,084370,-0.019316044715457763,-0.012411329319056159,272,237,2025-11-27,2025-10-28
2026-09-21,085620,-0.013436435278722868,-0.020617406877690612,255,268,2025-11-27,2025-10-28
2026-09-21,086280,0.011634863116061808,-0.006194686891304722,169,219,2025-11-27,2025-10-28
2026-09-21,086450,-0.01976324107282122,-0.010025675343586397,274,231,2025-11-27,2025-10-28
2026-09-21,086520,0.036983817886695136,0.046638049748306265,47,24,2025-11-27,2025-10-28
2026-09-21,086790,0.025116875059744866,0.017959356365060308,101,112,2025-11-27,2025-10-28
2026-09-21,087010,-0.01700824767621911,-0.00485212255811194,264,211,2025-11-27,2025-10-28
2026-09-21,088350,-0.003187581752793928,-0.015189528141724563,229,246,2025-11-27,2025-10-28
2026-09-21,088980,0.027985410509171877,0.020090982112510113,88,101,2025-11-27,2025-10-28
2026-09-21,089030,0.003949487154161107,-0.0002805591398258248,199,193,2025-11-27,2025-10-28
2026-09-21,089860,0.03221268312180193,0.039883357725910604,67,41,2025-11-27,2025-10-28
2026-09-21,089970,0.03177692176317551,0.03927679604625617,70,45,2025-11-27,2025-10-28
2026-09-21,090360,-0.001415787239248869,0.01299994249522755,219,138,2025-11-27,2025-10-28
2026-09-21,090430,0.005662820126569679,0.0012298668239164848,190,187,2025-11-27,2025-10-28
2026-09-21,090460,0.0005061818071345873,-0.009447632789891183,211,227,2025-11-27,2025-10-28
2026-09-21,090710,-0.0006415640196556334,-0.009182819861541675,215,226,2025-11-27,2025-10-28
2026-09-21,093370,-0.05678547824689054,-0.0493539318041394,324,318,2025-11-27,2025-10-28
2026-09-21,094170,0.01844538614788785,0.010755084069547316,139,147,2025-11-27,2025-10-28
2026-09-21,095340,-0.013699825891609771,-0.0049725547491071,256,212,2025-11-27,2025-10-28
2026-09-21,095610,-0.04051640303956088,-0.03547108328008602,311,302,2025-11-27,2025-10-28
2026-09-21,096530,0.0001425552584578629,-0.019532124714560704,212,264,2025-11-27,2025-10-28
2026-09-21,096770,-0.024292450719545333,-0.02306873574472685,285,275,2025-11-27,2025-10-28
2026-09-21,097230,0.00429576745992745,0.020304399189114912,197,100,2025-11-27,2025-10-28
2026-09-21,097950,0.042964571799386994,0.03797598393863268,24,49,2025-11-27,2025-10-28
2026-09-21,098460,0.00013847406011710073,-0.005449963370853979,213,214,2025-11-27,2025-10-28
2026-09-21,100090,0.023204062401413917,0.01779149060179494,114,115,2025-11-27,2025-10-28
2026-09-21,100790,-0.0258749118461096,-0.004195015508611014,289,205,2025-11-27,2025-10-28
2026-09-21,100840,-0.04335840123471459,-0.028360639117022232,315,291,2025-11-27,2025-10-28
2026-09-21,101490,-0.0033664479494034476,0.03285483997520665,230,59,2025-11-27,2025-10-28
2026-09-21,103140,-0.006736565623615177,0.00718920437178109,238,164,2025-11-27,2025-10-28
2026-09-21,103590,-0.03545295895253509,0.012445934785047248,303,141,2025-11-27,2025-10-28
2026-09-21,105560,0.03582884448931059,0.013268945659901304,55,136,2025-11-27,2025-10-28
2026-09-21,108320,0.030662516165813752,0.05642871442848943,76,15,2025-11-27,2025-10-28
2026-09-21,108490,-0.03438230887448183,-0.04719728571181199,300,315,2025-11-27,2025-10-28
2026-09-21,111770,0.04147061994131435,0.02192627682208165,32,94,2025-11-27,2025-10-28
2026-09-21,112610,0.007176362587741062,-0.009886217650378712,184,229,2025-11-27,2025-10-28
2026-09-21,115180,0.016583705242797175,-0.015022148043618138,151,243,2025-11-27,2025-10-28
2026-09-21,119850,-0.1069242281115775,-0.16061462415018737,345,345,2025-11-27,2025-10-28
2026-09-21,120110,-0.024150023891109054,0.0035257459959147,284,176,2025-11-27,2025-10-28
2026-09-21,122640,-0.059542920058268126,-0.018800254499979904,325,263,2025-11-27,2025-10-28
2026-09-21,122870,0.04056279272505995,0.037312825708111196,35,50,2025-11-27,2025-10-28
2026-09-21,124500,0.024149969327301832,-0.041230145979295266,105,305,2025-11-27,2025-10-28
2026-09-21,126340,-0.09556425372095242,-0.09744092748731012,343,338,2025-11-27,2025-10-28
2026-09-21,127120,-0.01934953447664131,-0.016144331154222164,273,251,2025-11-27,2025-10-28
2026-09-21,128940,-0.007740559871811464,-0.016083622113642948,242,250,2025-11-27,2025-10-28
2026-09-21,131290,0.014324875639974699,-0.027791562674685914,161,289,2025-11-27,2025-10-28
2026-09-21,131970,-0.06465342724573035,-0.08017893152692693,327,332,2025-11-27,2025-10-28
2026-09-21,137400,0.044548740408720554,0.07340342882326761,20,6,2025-11-27,2025-10-28
2026-09-21,138040,0.02350028385002765,-0.011203212990980633,111,233,2025-11-27,2025-10-28
2026-09-21,138930,0.037173543687587615,0.024980843091260422,46,83,2025-11-27,2025-10-28
2026-09-21,139130,0.039066924010565926,0.0021603115828519406,40,183,2025-11-27,2025-10-28
2026-09-21,139480,0.05816884820090978,0.042912198052338466,2,31,2025-11-27,2025-10-28
2026-09-21,140410,-0.019217922971048605,0.002330656539279195,271,182,2025-11-27,2025-10-28
2026-09-21,140860,0.027415726882790783,0.02073737445713259,91,98,2025-11-27,2025-10-28
2026-09-21,141080,0.0482295550577767,0.05428830681040325,10,17,2025-11-27,2025-10-28
2026-09-21,145020,0.03257945321449164,0.04913554531162386,65,23,2025-11-27,2025-10-28
2026-09-21,160190,-0.10341395556339299,-0.11653753054370397,344,342,2025-11-27,2025-10-28
2026-09-21,161390,0.04423541110888989,0.018781249473093373,21,109,2025-11-27,2025-10-28
2026-09-21,161580,-0.015707187266391146,-0.048827475208847636,263,316,2025-11-27,2025-10-28
2026-09-21,161890,-0.008605886730236417,-0.032066395958867185,245,299,2025-11-27,2025-10-28
2026-09-21,166090,0.009688952201049886,0.02264432241414823,176,90,2025-11-27,2025-10-28
2026-09-21,171090,0.00842144870225476,0.011439085433521403,182,144,2025-11-27,2025-10-28
2026-09-21,175330,0.028758375809550048,-0.008515545683129021,83,225,2025-11-27,2025-10-28
2026-09-21,178320,-0.02598026212293095,-0.05463401127032311,291,321,2025-11-27,2025-10-28
2026-09-21,180640,0.015243637416653816,-0.009778188442389207,156,228,2025-11-27,2025-10-28
2026-09-21,181710,0.04601223728446559,0.0013724458665906349,16,185,2025-11-27,2025-10-28
2026-09-21,183300,-0.00382126787190314,-0.012751466075177187,232,238,2025-11-27,2025-10-28
2026-09-21,189300,0.02231490521760273,0.060424907569619137,119,12,2025-11-27,2025-10-28
2026-09-21,192820,0.002836028159992095,-0.027846721277210745,204,290,2025-11-27,2025-10-28
2026-09-21,195870,-0.007723697843298104,-0.017907731384784856,241,258,2025-11-27,2025-10-28
2026-09-21,195940,0.0460575611562807,0.02670855968634824,15,74,2025-11-27,2025-10-28
2026-09-21,196170,0.03632709726331181,0.03900360077187295,50,47,2025-11-27,2025-10-28
2026-09-21,204270,-0.020332419490080352,-0.014464775083600867,276,241,2025-11-27,2025-10-28
2026-09-21,204320,0.01960080671177717,0.0156123034466416,128,127,2025-11-27,2025-10-28
2026-09-21,207940,0.036835644382305674,0.025195728830661204,49,81,2025-11-27,2025-10-28
2026-09-21,213420,0.03734256623747586,0.0857732206098167,45,3,2025-11-27,2025-10-28
2026-09-21,214150,0.057601437651134214,0.08705428021591255,3,2,2025-11-27,2025-10-28
2026-09-21,214450,-0.0007100895761713872,0.008066029804493918,217,158,2025-11-27,2025-10-28
2026-09-21,218410,-0.02772931316102846,-0.024822423407844036,294,279,2025-11-27,2025-10-28
2026-09-21,222800,-0.052347282380806666,-0.05431953862459347,323,319,2025-11-27,2025-10-28
2026-09-21,226950,-0.018898457890005847,-0.045572204268928676,270,311,2025-11-27,2025-10-28
2026-09-21,229640,-0.0801194124599668,-0.04631801185517765,335,312,2025-11-27,2025-10-28
2026-09-21,232140,-0.02303879589743724,-0.07073946758952745,280,329,2025-11-27,2025-10-28
2026-09-21,237690,0.05015730678105589,0.06288550918303926,8,9,2025-11-27,2025-10-28
2026-09-21,240810,-0.030694672696902865,-0.023001156740552316,297,274,2025-11-27,2025-10-28
2026-09-21,241560,0.025783316908386644,0.02080618454140125,96,97,2025-11-27,2025-10-28
2026-09-21,241710,0.03765352655820275,-0.006410442877293385,44,222,2025-11-27,2025-10-28
2026-09-21,247540,0.022098841903991466,0.019919155165784824,121,102,2025-11-27,2025-10-28
2026-09-21,251270,0.02742000754679391,0.061818472132201804,90,10,2025-11-27,2025-10-28
2026-09-21,251970,0.0255575363226726,-0.016620268034537714,97,253,2025-11-27,2025-10-28
2026-09-21,252990,-0.017558661138825486,-0.06653914562449774,265,328,2025-11-27,2025-10-28
2026-09-21,257720,0.010301005461254058,0.012608917741568477,174,140,2025-11-27,2025-10-28
2026-09-21,259960,0.051101994266067895,0.028843697758268217,6,68,2025-11-27,2025-10-28
2026-09-21,263750,0.0028370868352181563,0.014422387257414739,203,133,2025-11-27,2025-10-28
2026-09-21,267250,0.0037174161808954777,-0.005514793600527241,200,215,2025-11-27,2025-10-28
2026-09-21,267260,0.007731795155972181,0.017818534394934138,183,114,2025-11-27,2025-10-28
2026-09-21,267270,0.020050045942334387,0.0013680458716906869,125,186,2025-11-27,2025-10-28
2026-09-21,271560,0.045399464910216666,0.007768726173832987,18,159,2025-11-27,2025-10-28
2026-09-21,272210,-0.04271447731597234,-0.035209073392870306,314,301,2025-11-27,2025-10-28
2026-09-21,277810,0.0020629848201414256,0.02086571277699105,208,96,2025-11-27,2025-10-28
2026-09-21,278470,0.004745548819619904,-0.006000627101022631,196,217,2025-11-27,2025-10-28
2026-09-21,279570,0.0252675771800846,0.014477316941154186,100,132,2025-11-27,2025-10-28
2026-09-21,280360,-0.001043896961324463,-0.026082101640060376,218,286,2025-11-27,2025-10-28
2026-09-21,281740,0.04727658935351299,0.07028571168924369,11,7,2025-11-27,2025-10-28
2026-09-21,281820,-0.03684802797024009,-0.001678292357810796,308,197,2025-11-27,2025-10-28
2026-09-21,282330,0.025299933032214953,-0.014282633072756745,99,240,2025-11-27,2025-10-28
2026-09-21,285130,0.006471046259261995,0.001963289804480156,186,184,2025-11-27,2025-10-28
2026-09-21,290650,0.03613362565505331,0.0011637836116242266,53,188,2025-11-27,2025-10-28
2026-09-21,293490,0.004124791099285112,0.0176576816352423,198,116,2025-11-27,2025-10-28
2026-09-21,294870,0.030894393535584968,-0.0162712534511487,74,252,2025-11-27,2025-10-28
